Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Mes,Valor,Fecha
2026,26,Sonora,26001,Aconchi,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Violación,Violación equiparada,Violación equiparada,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Violación,Violación simple,Violación simple,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Discriminación,Discriminación,Discriminación,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Pornografía infantil,Pornografía infantil,Pornografía infantil,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Trata de personas,Trata de personas con fines de explotación sexual,Trata de personas con fines de explotación sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Trata de personas,Trata de personas con fines de trabajo o servicios forzados,Trata de personas con fines de trabajo o servicios forzados,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Trata de personas,Trata de personas con fines de tráfico de órganos,Trata de personas con fines de tráfico de órganos,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La sociedad,Trata de personas,Trata de personas con otros fines,Trata de personas con otros fines,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Aborto,Aborto,Aborto,Enero,0,2026-01-01
